"卡牌ID"	"卡名"	"类型"	"稀有度"	"费用"	"目标"	"标签/关键词"	"当前中文描述"	"备注"
"AdmireVictory"	"欣赏战果"	"技能"	"普通"	"1"	"自己"	"无"	"抽{Cards:diff()}张牌。每有一个带有[gold]流血[/gold]的敌人，额外抽{BonusCards:diff()}张牌。"	"根据当前代码与本地化自动生成"
"AllOutForce"	"全力发力"	"技能"	"稀有"	"2"	"自己"	"无"	"[gold]想嚼[/gold]{WantChew:diff()}。"	"根据当前代码与本地化自动生成"
"BelCantoHowl"	"美声叫法"	"能力"	"稀有"	"2"	"自己"	"叫|固有"	"打出所有带有[gold]叫[/gold]标签的牌时，打出两次。"	"根据当前代码与本地化自动生成"
"BerserkerDog"	"狂战士狗"	"能力"	"罕见"	"2"	"自己"	"无"	"每回合结束时获得{BleedingPower:diff()}层[gold]流血[/gold]。每个回合开始时获得{Energy:diff()}点能量。"	"根据当前代码与本地化自动生成"
"BigDogChew"	"大狗嚼"	"攻击"	"其他"	"1"	"单体敌人"	"消耗"	"造成{Damage:diff()}点伤害。"	"根据当前代码与本地化自动生成"
"BigDogHowl"	"大狗叫"	"攻击"	"其他"	"1"	"单体敌人"	"叫"	"造成{Damage:diff()}点伤害。[gold]想嚼[/gold] {WantChew:diff()}。"	"根据当前代码与本地化自动生成"
"BleedOut"	"放血"	"攻击"	"普通"	"1"	"单体敌人"	"无"	"给予{BleedingPower:diff()}层[gold]流血[/gold]。"	"根据当前代码与本地化自动生成"
"BloodDrink"	"饮血"	"技能"	"普通"	"1"	"自己"	"无"	"获得{Block:diff()}点格挡。每有一个带有[gold]流血[/gold]的敌人，额外获得{BlockPerBleed:diff()}点格挡。"	"根据当前代码与本地化自动生成"
"BloodlettingSlot"	"放血槽"	"能力"	"罕见"	"1"	"自己"	"固有"	"你对敌人施加的[gold]流血[/gold]+2。"	"根据当前代码与本地化自动生成"
"Bloodthirst"	"嗜血"	"技能"	"普通"	"1"	"单体敌人"	"无"	"造成{Damage:diff()}点伤害。如果目标带有[gold]流血[/gold]，本回合获得{WildnessPower:diff()}层[gold]野性[/gold]。"	"根据当前代码与本地化自动生成"
"ChewAtWill"	"想嚼就嚼"	"能力"	"罕见"	"1"	"自己"	"固有"	"抽到[gold]大狗嚼[/gold]时，自动打出。"	"根据当前代码与本地化自动生成"
"CowardDog"	"胆小狗"	"能力"	"罕见"	"1"	"自己"	"无"	"所有具有[gold]想嚼[/gold]的牌，其想嚼变为0。获得{WildnessPower:diff()}层[gold]野性[/gold]。"	"根据当前代码与本地化自动生成"
"Cuteify"	"可爱化"	"能力"	"罕见"	"1"	"自己"	"无"	"获得{WildnessPower:diff()}层[gold]野性[/gold]。"	"根据当前代码与本地化自动生成"
"DauntingHowl"	"震慑嚎叫"	"技能"	"普通"	"1"	"全体敌人"	"叫"	"给予所有敌人{VulnerablePower:diff()}层易伤。下次大狗嚼获得相同效果。"	"根据当前代码与本地化自动生成"
"DogSage"	"狗中贤者"	"能力"	"罕见"	"1"	"自己"	"无"	"每回合第一次打出带有[gold]叫[/gold]标签的牌时，抽{Cards:diff()}张牌。"	"根据当前代码与本地化自动生成"
"EndlessBleeding"	"血流不止"	"能力"	"稀有"	"2"	"自己"	"无"	"敌人身上的[gold]流血[/gold]会额外触发{ExtraTriggers:diff()}次。"	"根据当前代码与本地化自动生成"
"FearlessBeast"	"野兽不惧流血"	"技能"	"罕见"	"1"	"自己"	"无"	"获得{Block:diff()}点格挡。每有1层[gold]野性[/gold]，减少自身{BleedingPerWildness:diff()}层[gold]流血[/gold]。"	"根据当前代码与本地化自动生成"
"Feint"	"佯攻"	"攻击"	"普通"	"1"	"单体敌人"	"消耗"	"造成{Damage:diff()}点伤害。如果抽牌堆或弃牌堆有[gold]大狗嚼[/gold]，将其加入手牌。"	"根据当前代码与本地化自动生成"
"FlurryScratch"	"连续抓挠"	"攻击"	"普通"	"1"	"全体敌人"	"无"	"随机对敌人造成{Damage:diff()}点伤害{Hits}次。"	"根据当前代码与本地化自动生成"
"FocusedForce"	"集中发力"	"技能"	"普通"	"1"	"自己"	"无"	"[gold]想嚼[/gold]{WantChew:diff()}。"	"根据当前代码与本地化自动生成"
"ForceAwaken"	"强行唤起"	"技能"	"普通"	"0"	"自己"	"无"	"自己获得{BleedingPower:diff()}层[gold]流血[/gold]。获得{Energy}点能量。"	"根据当前代码与本地化自动生成"
"ForcedDefense"	"强行防守"	"技能"	"罕见"	"1"	"自己"	"无"	"获得{BleedingPower:diff()}层[gold]流血[/gold]。获得{Block:diff()}点格挡。"	"根据当前代码与本地化自动生成"
"Forget"	"忘记"	"技能"	"普通"	"0"	"自己"	"消耗"	"消耗1张手牌，抽{Cards:diff()}张牌。"	"根据当前代码与本地化自动生成"
"FrenziedGrowth"	"疯狂增生"	"技能"	"稀有"	"1"	"自己"	"消耗"	"回复等同于自身[gold]流血[/gold]层数的生命值。移除自己的全部[gold]流血[/gold]。"	"根据当前代码与本地化自动生成"
"FriendlyHowlFlow"	"友好叫流"	"技能"	"普通"	"1"	"自己"	"叫"	"抽{Cards:diff()}张牌。下次大狗嚼获得相同效果。"	"根据当前代码与本地化自动生成"
"FullyPrepared"	"准备完全"	"技能"	"稀有"	"1"	"自己"	"无"	"[gold]想嚼[/gold]{WantChew:diff()}。如果当前有3种以上不同类型的大狗用力，将[gold]大狗嚼[/gold]加入手牌。"	"根据当前代码与本地化自动生成"
